reward,2026-06-25 12:40:54 | 2026-06-25_12-40-54_v4_top4_decim2_plantguard_from_m300_to_800_save25_20260625,2026-06-25 12:39:34 | 2026-06-25_12-39-34_v4_top4_decim2_plantguard_from_m300_to_800_save25_20260625,2026-06-25 12:37:38 | 2026-06-25_12-37-38_v4_top4_decim2_plantguard_from_m300_to_800_20260625,2026-06-25 12:23:43 | 2026-06-25_12-23-43_v4_top4_decim2_plantguard_from_v32m200_to_300_20260625,2026-06-23 23:10:24 | 2026-06-23_23-10-24_v4_top4_decim2_support50_supportpen10_clear20_plant25_from_v32m200_to_300_20260623,2026-06-23 20:31:30 | 2026-06-23_20-31-30_v4_top4_decim2_support50_clear20_plant25_densefoot20_from_m300_to_800_20260623,2026-06-23 20:00:26 | 2026-06-23_20-00-26_v4_top4_decim2_support50_clear20_plant25_from_v32m200_to_300_rerun_20260623,2026-06-23 19:28:24 | 2026-06-23_19-28-24_v4_top4_decim2_support50_clear20_plant25_from_v32m200_to_300_save25_20260623,2026-06-23 18:22:04 | 2026-06-23_18-22-04_v4_top4_conservative_decim2_from_v32m200_to_300_save25_20260623,2026-06-23 17:21:47 | 2026-06-23_17-21-47_v4_decim2_gait_quality_from_v32m200_to_300_save25_20260623,2026-06-23 15:13:25 | 2026-06-23_15-13-25_v4_0_top4_no_altphase_support25_clear100_4096envs_from_fresh100_to_300_save25_20260623,2026-06-23 14:59:36 | 2026-06-23_14-59-36_v4_0_top4_no_altphase_support25_clear100_4096envs_from_fresh200_to_300_save25_20260623,2026-06-22 19:57:27 | 2026-06-22_19-57-27_v4_0_top4_no_altphase_4096envs_from_fresh200_to_300_save25_20260622,2026-06-22 19:30:05 | 2026-06-22_19-30-05_v4_0_top4_may31_rebalance_4096envs_from_fresh200_to_300_save25_20260622,2026-06-22 18:57:49 | 2026-06-22_18-57-49_v4_0_top4_may31_rebalance_4096envs_zero_to_200_save25_rerun_fall_exploit_check_20260622,2026-06-22 18:39:07 | 2026-06-22_18-39-07_v4_0_top4_may31_rebalance_4096envs_from_rerun100_to_200_save25_20260622,2026-06-22 18:16:49 | 2026-06-22_18-16-49_v4_0_top4_may31_rebalance_4096envs_zero_to_100_save25_rerun_compare_20260622,2026-06-22 15:07:27 | 2026-06-22_15-07-27_v4_0_top4_may31_rebalance_4096envs_from_100_to_300_save25_20260622,2026-06-22 14:48:50 | 2026-06-22_14-48-50_v4_0_top4_may31_rebalance_4096envs_zero_to_100_save25_20260622,2026-06-22 14:45:07 | 2026-06-22_14-45-07_v4_0_top4_may31_rebalance_aborted_at21_20260622,2026-06-22 12:28:34 | 2026-06-22_12-28-34_v4_top4_soletrack_4096envs_from_100_to_300_save25_20260622,2026-06-22 11:47:18 | 2026-06-22_11-47-18_v4_top4_soletrack_4096envs_zero_to_100_20260622,2026-06-19 15:19:33 | 2026-06-19_15-19-33_v4_top4_starter_implicit_4096envs_zero_to_100_20260619,2026-06-19 14:52:40 | 2026-06-19_14-52-40_v4_top4_starter_explicit_4096envs_zero_to_100_20260619
track_lin_vel_xy_exp,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
track_ang_vel_z_exp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lin_vel_z_l2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
ang_vel_xy_l2,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
dof_torques_l2,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05
dof_acc_l2,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07,-1e-07
action_rate_l2,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
feet_air_time,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
undesired_contacts,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
flat_orientation_l2,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
dof_pos_limits,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
alive,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_height_l2,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0
lateral_velocity_l2,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
yaw_rate_l2,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0
root_lateral_tilt_l2,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0
root_lateral_tilt_ema_l2,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
world_heading_l2,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0,-90.0
backward_velocity_l2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
forward_velocity_below_l2,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
foot_lateral_spacing_l1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
foot_signed_lateral_clearance_l1,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0
foot_lateral_lane_l1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
foot_lateral_lane_max_l1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
leg_frontal_plane_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_leg_frontal_plane_l1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
right_leg_frontal_plane_l1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
max_leg_frontal_plane_l1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
foot_sagittal_separation_l1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
swing_foot_overtake_l1,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-80.0,-80.0
foot_parallel_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foot_world_parallel_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foot_world_parallel_max_l2,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
foot_toe_in_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foot_flat_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stance_foot_flat_l2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
wobble_joint_vel_l2,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
hip_roll_yaw_position_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hip_roll_yaw_position_ema_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_body_l2,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
knee_extension_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
termination_penalty,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-2250.0,-2250.0,-2250.0,-2250.0,-2250.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0,-750.0
upright_alive,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
foot_sole_lateral_lane_max_l1,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0
leg_frontal_sole_plane_max_l1,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0
hip_roll_position_ema_5cycle_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centered_joint_target_position_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stand_joint_position_l2,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
world_forward_velocity_below_l2,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0
world_forward_velocity_clip,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,15.0,15.0,15.0,30.0,30.0,30.0,30.0
root_lateral_position_l2,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0,-12.0
alternating_step_symmetry_l2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
contact_duty_symmetry_l2,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
dense_swing_step_length,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_foot_swing_speed,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,20.0,20.0,20.0
dense_swing_foot_target_location_exp,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,40.0,40.0,40.0,40.0
lateral_away_from_center_l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
signed_joint_pair_ema_symmetry_l2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
foot_retreat,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6.0,-6.0,-6.0,-6.0
gait_cycle_support,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.25,0.25,25.0,25.0,2.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0
gait_cycle_plant_water_level,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.25,0.25,2.5,2.5,2.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0
swing_sole_clearance,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,1.0,100.0,100.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alternating_foot_phase,,,,,,,,,,,,,,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0
